231:00:21:39.000,-179.000000,181.000000,3.770000,-131.000000,5.000000,-179.000000,2.000000
231:00:23:08.000,-179.000000,181.000000,4.460000,-177.000000,5.000000,16.000000,3.000000
231:01:02:54.000,-179.000000,181.000000,5.490000,-66.000000,9.000000,-57.000000,15.000000
231:01:45:11.500,-178.000000,182.000000,4.260000,138.000000,4.000000,43.000000,6.000000
231:01:45:26.500,-178.000000,182.000000,2.860000,-163.000000,7.000000,39.000000,6.000000
231:00:22:40.500,-178.000000,182.000000,2.060000,178.000000,3.000000,-118.000000,2.000000
231:00:23:10.500,-177.000000,183.000000,3.670000,-154.000000,4.000000,38.000000,3.000000
231:00:22:01.500,-177.000000,183.000000,1.740000,-110.000000,4.000000,44.000000,5.000000
231:01:03:06.500,-177.000000,183.000000,7.260000,-83.000000,14.000000,-56.000000,13.000000
231:01:45:20.500,-176.000000,184.000000,2.140000,142.000000,5.000000,33.000000,4.000000
231:00:21:22.000,-176.000000,184.000000,1.260000,-117.000000,5.000000,163.000000,3.000000
231:01:40:35.000,-175.000000,185.000000,1.440000,-95.000000,7.000000,46.000000,3.000000
231:04:02:01.500,-175.000000,185.000000,9.800000,-162.000000,6.000000,120.000000,4.000000
231:00:29:19.000,-175.000000,185.000000,0.990000,-112.000000,4.000000,31.000000,11.000000
231:01:45:11.000,-174.000000,186.000000,5.690000,174.000000,5.000000,42.000000,7.000000
231:00:21:58.500,-174.000000,186.000000,3.840000,151.000000,2.000000,172.000000,3.000000
231:04:18:47.500,-173.000000,187.000000,0.710000,73.000000,8.000000,175.000000,8.000000
231:00:22:38.500,-173.000000,187.000000,4.970000,-168.000000,4.000000,-175.000000,3.000000
231:00:21:54.500,-173.000000,187.000000,1.930000,-107.000000,4.000000,33.000000,6.000000
231:01:03:06.000,-173.000000,187.000000,8.020000,-86.000000,12.000000,-56.000000,14.000000
231:01:43:14.500,-173.000000,187.000000,1.690000,161.000000,5.000000,39.000000,7.000000
231:01:45:30.000,-170.000000,190.000000,1.160000,-149.000000,7.000000,23.000000,6.000000
231:00:22:38.000,-170.000000,190.000000,3.600000,171.000000,4.000000,-150.000000,3.000000
231:01:50:45.500,-170.000000,190.000000,1.500000,171.000000,7.000000,73.000000,4.000000
231:00:20:32.500,-169.000000,191.000000,1.250000,-111.000000,4.000000,-66.000000,6.000000
231:04:01:55.500,-169.000000,191.000000,3.460000,173.000000,3.000000,159.000000,8.000000
231:00:23:05.500,-167.000000,193.000000,4.940000,154.000000,7.000000,27.000000,3.000000
231:01:45:06.000,-167.000000,193.000000,2.680000,-121.000000,4.000000,45.000000,8.000000
231:05:28:10.000,-167.000000,193.000000,1.670000,133.000000,3.000000,0.000000,8.000000
231:01:24:40.000,-167.000000,193.000000,4.050000,67.000000,10.000000,25.000000,15.000000
231:00:22:36.500,-167.000000,193.000000,1.920000,-112.000000,5.000000,157.000000,3.000000
231:00:21:29.500,-166.000000,194.000000,4.060000,-91.000000,6.000000,-114.000000,6.000000
231:01:45:24.500,-166.000000,194.000000,5.500000,-114.000000,8.000000,42.000000,5.000000
231:00:29:20.000,-166.000000,194.000000,1.520000,-110.000000,4.000000,26.000000,11.000000
231:00:21:46.500,-166.000000,194.000000,3.290000,-99.000000,3.000000,126.000000,6.000000
231:00:29:10.500,-166.000000,194.000000,5.410000,-156.000000,4.000000,73.000000,11.000000
231:00:23:07.500,-165.000000,195.000000,4.650000,-167.000000,5.000000,15.000000,3.000000
231:00:22:06.000,-165.000000,195.000000,3.490000,-124.000000,3.000000,120.000000,6.000000
231:00:23:06.000,-165.000000,195.000000,4.160000,168.000000,6.000000,24.000000,3.000000
231:01:25:26.000,-165.000000,195.000000,0.990000,-103.000000,10.000000,24.000000,12.000000
231:01:24:36.500,-164.000000,196.000000,0.550000,148.000000,14.000000,24.000000,15.000000
